subject,city,avg_sunday_holiday_rides,month_beginning,routename,monthtotal,avg_weekday_rides,avg_saturday_rides,route
https://data.cityofchicago.org/resource/bynn-gwxy/row-neix~5595-8guc,Chicago,167.1,2001-03-01,Soldier Field Express,501,0.0,0.0,128
https://data.cityofchicago.org/resource/bynn-gwxy/row-u9vf-whsq-bi9h,Chicago,5453.1,2001-04-01,Archer,379009,15266.9,7784.5,62
https://data.cityofchicago.org/resource/bynn-gwxy/row-g4cd_957u~kvzu,Chicago,9257.3,2001-03-01,Halsted,553054,20442.8,13256.7,8
https://data.cityofchicago.org/resource/bynn-gwxy/row-5net-eivk_dqu5,Chicago,10462.2,2001-01-01,Clark,577386,21206.2,14634.5,22
https://data.cityofchicago.org/resource/bynn-gwxy/row-7b6i-565k~6tsu,Chicago,1211.3,2001-04-01,Lincoln/Sedgwick,93440,3794.3,1926.0,11
https://data.cityofchicago.org/resource/bynn-gwxy/row-pwk2~q7e7-rbqh,Chicago,3791.9,2001-03-01,Devon,210621,7675.1,5320.0,155
https://data.cityofchicago.org/resource/bynn-gwxy/row-wvqm-fv9x-n9an,Chicago,7471.6,2001-04-01,67th-69th-71st,381072,14450.2,10065.0,67
https://data.cityofchicago.org/resource/bynn-gwxy/row-44c4_rjaa_gjzr,Chicago,0.0,2001-03-01,West Loop/South Loop,18050,820.5,0.0,129
https://data.cityofchicago.org/resource/bynn-gwxy/row-ius8.nvm9_zt54,Chicago,6419.1,2001-03-01,Fullerton,369482,13118.1,11041.7,74
https://data.cityofchicago.org/resource/bynn-gwxy/row-hk5r-s9pa-rtce,Chicago,320.2,2001-02-01,U. of Chicago/Hyde Park,20728,918.1,271.3,171
https://data.cityofchicago.org/resource/bynn-gwxy/row-u96e_8quw~dxmg,Chicago,0.0,2001-04-01,South Damen,23132,1101.5,0.0,48
https://data.cityofchicago.org/resource/bynn-gwxy/row-4az5-n6e3_9zyd,Chicago,0.0,2001-02-01,Cumberland/East River,8858,466.2,0.0,69
https://data.cityofchicago.org/resource/bynn-gwxy/row-pmyj-k82s~dpaw,Chicago,1170.9,2001-04-01,West 103rd,85256,3412.3,1936.0,103
https://data.cityofchicago.org/resource/bynn-gwxy/row-6pk2~iyqg_hfqx,Chicago,5214.9,2001-03-01,Central,368735,13872.6,8535.9,85
https://data.cityofchicago.org/resource/bynn-gwxy/row-jxkn~q4j5~3qnp,Chicago,0.0,2001-01-01,West Loop/South Loop,17439,792.7,0.0,129
https://data.cityofchicago.org/resource/bynn-gwxy/row-fvkv_5din_gv9c,Chicago,11831.8,2001-04-01,Clark,596848,22428.9,16670.5,22
https://data.cityofchicago.org/resource/bynn-gwxy/row-5b2f.kada~jn6w,Chicago,0.0,2001-03-01,California/Dodge,57701,2351.2,1194.8,93
https://data.cityofchicago.org/resource/bynn-gwxy/row-4hxx.u6am~qbd9,Chicago,404.8,2001-04-01,West 63rd,53696,2293.3,878.4,63W
https://data.cityofchicago.org/resource/bynn-gwxy/row-6vh8~mup9.rv77,Chicago,0.0,2001-04-01,Wentworth,90671,4317.6,0.0,24
