City,Mode,Date,RouteID,DayType,Ridership
Chicago,Bus,2001-01-03,125,Weekday,2933
Chicago,Bus,2001-01-02,20,Weekday,17914
Chicago,Bus,2001-01-01,9,Sunday/Holiday,11207
Chicago,Bus,2001-01-02,106,Weekday,1251
Chicago,Bus,2001-01-02,9,Weekday,24797
Chicago,Bus,2001-01-01,53,Sunday/Holiday,8058
Chicago,Bus,2001-01-04,77,Weekday,17775
Chicago,Bus,2001-01-02,X49,Weekday,3735
Chicago,Bus,2001-01-04,43,Weekday,1260
Chicago,Bus,2001-01-04,95W,Weekday,5159
Chicago,Bus,2001-01-01,12,Sunday/Holiday,3678
Chicago,Bus,2001-01-02,201,Weekday,1136
Chicago,Bus,2001-01-04,14,Weekday,8946
Chicago,Bus,2001-01-03,78,Weekday,7320
Chicago,Bus,2001-01-02,24,Weekday,2989
Chicago,Bus,2001-01-04,91,Weekday,7689
Chicago,Bus,2001-01-03,8A,Weekday,2743
Chicago,Bus,2001-01-04,1,Weekday,6907
Chicago,Bus,2001-01-02,3,Weekday,16697
Chicago,Bus,2001-01-02,54A,Weekday,1049
Chicago,Bus,2001-01-01,55,Sunday/Holiday,5805
Chicago,Bus,2001-01-04,35,Weekday,5497
Chicago,Bus,2001-01-04,70,Weekday,10097
Chicago,Bus,2001-01-03,88,Weekday,1428
Chicago,Bus,2001-01-03,8,Weekday,16893
Chicago,Bus,2001-01-01,51,Sunday/Holiday,1752
Chicago,Bus,2001-01-01,95W,Sunday/Holiday,2201
Chicago,Bus,2001-01-04,82,Weekday,16642
Chicago,Bus,2001-01-02,170,Weekday,221
Chicago,Bus,2001-01-02,55,Weekday,10984
Chicago,Bus,2001-01-03,49,Weekday,19796
Chicago,Bus,2001-01-02,157,Weekday,3035
Chicago,Bus,2001-01-04,53,Weekday,18968
Chicago,Bus,2001-01-01,91,Sunday/Holiday,1870
Chicago,Bus,2001-01-04,33,Weekday,1105
Chicago,Bus,2001-01-02,85,Weekday,9836
Chicago,Bus,2001-01-01,8A,Sunday/Holiday,1008
Chicago,Bus,2001-01-01,53A,Sunday/Holiday,1104
Chicago,Bus,2001-01-03,79,Weekday,25587
Chicago,Bus,2001-01-01,47,Sunday/Holiday,2676
Chicago,Bus,2001-01-04,54,Weekday,11569
Chicago,Bus,2001-01-04,146,Weekday,8858
Chicago,Bus,2001-01-03,76,Weekday,11059
Chicago,Bus,2001-01-04,145,Weekday,8352
Chicago,Bus,2001-01-01,151,Sunday/Holiday,9882
Chicago,Bus,2001-01-03,90,Weekday,3510
Chicago,Bus,2001-01-02,204,Weekday,857
Chicago,Bus,2001-01-02,54B,Weekday,4619
Chicago,Bus,2001-01-05,22,Weekday,20680
Chicago,Bus,2001-01-04,171,Weekday,584
Chicago,Bus,2001-01-04,65,Weekday,6212
Chicago,Bus,2001-01-05,4,Weekday,21679
Chicago,Bus,2001-01-01,6,Sunday/Holiday,6048
Chicago,Bus,2001-01-03,29,Weekday,15243
Chicago,Bus,2001-01-04,68,Weekday,1287
Chicago,Bus,2001-01-03,95E,Weekday,4857
