city,avg_sunday_holiday_rides,month_beginning,routename,monthtotal,avg_weekday_rides,avg_saturday_rides,route
Chicago,167.1,2001-03-01,Soldier Field Express,501,0.0,0.0,128
Chicago,5453.1,2001-04-01,Archer,379009,15266.9,7784.5,62
Chicago,9257.3,2001-03-01,Halsted,553054,20442.8,13256.7,8
Chicago,10462.2,2001-01-01,Clark,577386,21206.2,14634.5,22
Chicago,1211.3,2001-04-01,Lincoln/Sedgwick,93440,3794.3,1926.0,11
Chicago,3791.9,2001-03-01,Devon,210621,7675.1,5320.0,155
Chicago,7471.6,2001-04-01,67th-69th-71st,381072,14450.2,10065.0,67
Chicago,0.0,2001-03-01,West Loop/South Loop,18050,820.5,0.0,129
Chicago,6419.1,2001-03-01,Fullerton,369482,13118.1,11041.7,74
Chicago,320.2,2001-02-01,U. of Chicago/Hyde Park,20728,918.1,271.3,171
Chicago,0.0,2001-04-01,South Damen,23132,1101.5,0.0,48
Chicago,0.0,2001-02-01,Cumberland/East River,8858,466.2,0.0,69
Chicago,1170.9,2001-04-01,West 103rd,85256,3412.3,1936.0,103
Chicago,5214.9,2001-03-01,Central,368735,13872.6,8535.9,85
Chicago,0.0,2001-01-01,West Loop/South Loop,17439,792.7,0.0,129
Chicago,11831.8,2001-04-01,Clark,596848,22428.9,16670.5,22
Chicago,0.0,2001-03-01,California/Dodge,57701,2351.2,1194.8,93
Chicago,404.8,2001-04-01,West 63rd,53696,2293.3,878.4,63W
Chicago,0.0,2001-04-01,Wentworth,90671,4317.6,0.0,24
Chicago,2485.4,2001-04-01,35th,155563,6111.6,3698.0,35
Chicago,10170.6,2001-04-01,Pulaski,548856,20936.2,14585.9,53
Chicago,286.5,2001-01-01,Northwest Highway,38614,1579.5,608.1,68
Chicago,12432.2,2001-01-01,Western,666662,23732.1,20598.9,49
Chicago,254.6,2001-01-01,U. of Chicago/Lakeview Express,9088,253.0,562.1,173
Chicago,11108.6,2001-02-01,Clark,540279,21849.7,14712.5,22
Chicago,7245.6,2001-02-01,Kimball-Homan,500916,21175.6,12105.2,82
Chicago,1957.5,2001-03-01,Grand,180298,7000.3,3692.4,65
Chicago,0.0,2001-03-01,Narragansett/Ridgeland,43364,1971.1,0.0,86
Chicago,4691.0,2001-01-01,Roosevelt,288055,10763.5,6950.6,12
Chicago,707.4,2001-03-01,South Chicago,106308,4203.3,2201.1,30
Chicago,6310.6,2001-01-01,Blue Island/26th,366761,13431.4,9929.4,60
Chicago,2486.8,2001-02-01,South Deering,139294,5805.5,3309.5,27
Chicago,5326.3,2001-02-01,Irving Park,291736,11989.0,7662.9,80
Chicago,0.0,2001-03-01,Westchester,12716,578.0,0.0,17
Chicago,0.0,2001-03-01,Water Tower Express,48866,2221.2,0.0,125
Chicago,644.9,2001-03-01,United Center Express,22537,983.3,2112.2,19
Chicago,9137.5,2001-03-01,State,492091,17732.8,13083.9,29
Chicago,0.0,2001-04-01,Indiana/Hyde Park,144377,6875.1,0.0,1
Chicago,0.0,2001-02-01,Ogilvie/Wacker Express,12496,624.8,0.0,120
Chicago,6495.9,2001-01-01,Garfield,350112,12778.5,9126.4,55
Chicago,0.0,2001-02-01,59th/61st,100781,4593.0,2230.1,59
Chicago,0.0,2001-02-01,Streeterville/Taylor,65581,3279.0,0.0,157
Chicago,286.1,2001-02-01,United Center Express,6903,295.5,331.3,19
Chicago,0.0,2001-04-01,Foster-Canfield,5112,243.4,0.0,64
Chicago,0.0,2001-04-01,Ogilvie/Wacker Express,23832,1134.8,0.0,120
Chicago,618.7,2001-02-01,16th/18th,47570,2075.4,896.8,18
Chicago,15336.1,2001-01-01,Ashland,811006,29265.4,22621.7,9
