vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,snapshot_ts,City
7939,20260203 04:32,41.746051201453575,-87.61480771578275,357,18414,3,Michigan/Chicago,11895,False,400,273997003,3 -702,,1,,15840,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1086,20260203 04:32,41.820365958017845,-87.60685489602285,177,19381,4,115th,27549,False,88358691,273985894,4 -701,,1,,15090,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7924,20260203 04:32,41.88307189941406,-87.62776947021484,1,28326,4,State/Washington,75870,False,10000882,273985883,4 -703,,1,,12600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1300,20260203 04:32,41.72081756591797,-87.62483215332031,0,28329,4,Illinois Center,452,False,10000866,273985886,4 -706,,1,,16380,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1313,20260203 04:32,41.76690642038981,-87.60549990336101,357,28329,4,Illinois Center,22702,False,10000855,273985885,4 -702,,1,,15390,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8471,20260203 04:32,41.82096812764152,-87.60675986868436,359,28329,4,Illinois Center,42498,False,10001067,273985884,4 -705,,1,,14280,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8483,20260203 04:32,41.72256434241007,-87.59477233886719,178,12428,N5,69th Red Line,10665,False,3,273991961,119 -103,,1,,15660,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8511,20260203 04:32,41.76942952473959,-87.57640838623047,177,12429,N5,95th Red Line,15922,False,4,273991974,95 -102,,1,,15540,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8443,20260203 04:32,41.725729327335536,-87.60428391215957,233,12429,N5,95th Red Line,57466,False,4,273991973,95 -103,,1,,13680,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8152,20260203 04:32,41.92756748199463,-87.6488265991211,178,9368,8,79th,8569,False,1078273,273991312,3 -701,,1,,15900,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8932,20260203 04:32,41.88066482543945,-87.64732360839844,179,9368,8,79th,29662,False,1078272,273991311,8 -701,,1,,14700,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1346,20260203 04:32,41.77236175537109,-87.64452234903972,2,9376,8,Waveland/Broadway,8328,False,1078155,273991184,SH  -702,,1,,15840,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8458,20260203 04:32,41.83775760281471,-87.64625893869707,359,9376,8,Waveland/Broadway,32185,False,1078154,273991183,SH  -701,,1,,14700,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8922,20260203 04:32,41.94692068388968,-87.66879272460938,358,9371,9,Ravenswood Metra,94201,False,2,273986799,9 -603,,1,,12060,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1065,20260203 04:32,41.72051833333333,-87.66302,174,9372,9,Ravenswood Metra,0,False,12,273986783,9 -602,,1,,16950,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8699,20260203 04:32,41.73148172551935,-87.66285081343217,359,9372,9,Ravenswood Metra,4174,False,10,273986803,9 -610,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1497,20260203 04:32,41.77271832917866,-87.66394464593185,355,9372,9,Ravenswood Metra,19211,False,8,273986802,9 -608,,1,,15450,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7906,20260203 04:32,41.81323152429917,-87.66500091552734,358,9372,9,Ravenswood Metra,34009,False,7,273986801,9 -606,,1,,14730,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1216,20260203 04:32,41.96774833333333,-87.67406666666666,358,9375,9,104th/Vincennes,83,False,9,273986806,9 -601,,1,,16410,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8035,20260203 04:32,41.903994687398274,-87.66758728027344,180,9717,9,95th,25465,False,6,273986805,44 -601,,1,,15150,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8016,20260203 04:32,41.81004842122396,-87.66508483886719,179,9794,9,95th,47486,False,4,273986804,9 -604,,1,,13950,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8100,20260203 04:32,41.86605072021485,-87.73433850262616,90,4135,12,15th/Indiana,10855,False,1074937,273984337,12 -203,,1,,15930,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8659,20260203 04:32,41.866973059518,-87.65486744471959,91,4135,12,15th/Indiana,33699,False,1074562,273984369,12 -801,,1,,14970,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8290,20260203 04:32,41.86732184368631,-87.6391657953677,266,7471,12,Central/Harrison,7587,False,1074580,273984329,12 -202,,1,,16050,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8631,20260203 04:32,41.86648941040039,-87.69849099053278,268,7471,12,Central/Harrison,24909,False,1074572,273984328,12 -201,,1,,14850,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4306,20260203 04:32,41.71356964111328,-87.56048075358073,268,4276,J14,Washington/Jefferson,8295,False,4,273994964,J14 -105,,1,,16020,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4037,20260203 04:32,41.76620292663574,-87.57630968093872,0,4276,J14,Washington/Jefferson,31025,False,3,273994963,J14 -104,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4190,20260203 04:32,41.87338638305664,-87.62413024902344,353,4277,J14,Madison/Jefferson,74633,False,2,273994962,J14 -102,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4311,20260203 04:32,41.88195037841797,-87.6329535406989,269,4277,J14,Madison/Jefferson,80145,False,1,273994961,J14 -101,,1,,13500,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8505,20260203 04:32,41.72552490234375,-87.57542419433594,359,4288,15,47th Red Line,13543,False,116,273995596,15 -102,,1,,15570,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8938,20260203 04:32,41.8012817700704,-87.58747164408366,350,4288,15,47th Red Line,44127,False,1,273995595,15 -101,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8553,20260203 04:32,41.880859375,-87.71589221954346,267,947,20,Austin,26030,False,1040778,273982314,20 -802,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8664,20260203 04:32,41.88325119018555,-87.6282251718882,89,959,20,Washington/State,40350,False,1040636,273982295,20 -801,,1,,14100,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8726,20260203 04:33,41.88130187988281,-87.67765045166016,90,2062,20,Illinois Center,13112,False,88393379,273982604,20 -804,,1,,15870,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8815,20260203 04:32,41.88095698637121,-87.7006503834444,87,2063,20,Illinois Center,20172,False,88392853,273982345,66 -806,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8646,20260203 04:33,41.85103988647461,-87.7578125,88,4554,21,Mercy Hospital,908,False,415,273986497,21 -202,,1,,16320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8509,20260203 04:33,41.85176849365234,-87.70540307492627,93,4554,21,Mercy Hospital,15209,False,414,273986496,21 -201,,1,,15240,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8287,20260203 04:33,41.851680755615234,-87.71463012695312,273,29267,21,54th/Cermak Pink Line,2567,False,88415456,273986580,21 -204,,1,,16260,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1540,20260203 04:33,41.874267578125,-87.629150390625,359,246,22,Howard,1782,False,203826,273986977,22 -504,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4129,20260203 04:32,41.936767231334336,-87.64810041947798,328,246,22,Howard,26891,False,203825,273986976,22 -502,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1853,20260203 04:33,42.01850833333334,-87.67286833333333,11,246,22,Howard,58491,False,203824,273986975,22 -503,,1,,12600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1826,20260203 04:32,41.960360122939285,-87.66547820527674,163,3935,22,Harrison,14576,False,203971,273986856,22 -508,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4347,20260203 04:33,41.87434191820098,-87.63067385045494,179,3935,22,Harrison,48279,False,203970,273986855,151 -501,,1,,14100,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4106,20260203 04:32,42.01284323165666,-87.67465847641674,172,3936,22,Harrison,3458,False,203831,273986877,22 -501,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4384,20260203 04:33,41.92849349975586,-87.64220492045085,156,3936,22,Harrison,36163,False,203828,273986876,22 -505,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4326,20260203 04:33,41.70790863037109,-87.57737731933594,88,8121,26,Michigan/Chicago,1115,False,88347173,273994003,J14 -106,,1,,16260,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
4322,20260203 04:33,41.73014831542969,-87.54431423064202,264,8121,26,Michigan/Chicago,25687,False,88347169,273994002,J14 -103,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8341,20260203 04:33,41.809245,-87.591625,248,2156,28,103rd/Stony Island,41,False,88348736,273995779,28 -101,,1,,16440,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8510,20260203 04:33,41.70872833333333,-87.58034666666667,260,10941,28,47th/Lake Park,33,False,22223951,273995811,28 -102,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
